ChildId,GiftId
0,61
1,61
2,19
3,19
4,451
5,451
6,231
7,231
8,751
9,751
10,130
11,130
12,945
13,945
14,366
15,366
16,108
17,108
18,485
19,485
20,900
21,900
22,542
23,542
24,563
25,563
26,963
27,963
28,390
29,390
30,193
31,193
32,316
33,316
34,563
35,563
36,241
37,241
38,886
39,886
40,415
41,415
42,178
43,178
44,187
45,187
46,322
47,322
48,329
49,329
50,6
51,6
52,15
53,15
54,687
55,687
56,585
57,585
58,47
59,47
60,7
61,7
62,210
63,210
64,29
65,29
66,61
67,61
68,653
69,653
70,841
71,841
72,678
73,678
74,971
75,971
76,362
77,362
78,153
79,153
80,290
81,290
82,907
83,907
84,19
85,19
86,398
87,398
88,666
89,666
90,175
91,175
92,755
93,755
94,327
95,327
96,224
97,224
98,97
99,97
100,431
101,431
102,406
103,406
104,620
105,620
106,701
107,701
108,35
109,35
110,744
111,744
112,988
113,988
114,23
115,23
116,686
117,686
118,872
119,872
120,365
121,365
122,530
123,530
124,111
125,111
126,522
127,522
128,749
129,749
130,854
131,854
132,993
133,993
134,48
135,48
136,913
137,913
138,880
139,880
140,604
141,604
142,929
143,929
144,562
145,562
146,945
147,945
148,6
149,6
150,317
151,317
152,307
153,307
154,862
155,862
156,165
157,165
158,474
159,474
160,645
161,645
162,445
163,445
164,55
165,55
166,791
167,791
168,671
169,671
170,141
171,141
172,384
173,384
174,92
175,92
176,568
177,568
178,119
179,119
180,522
181,522
182,704
183,704
184,399
185,399
186,136
187,136
188,63
189,63
190,369
191,369
192,911
193,911
194,735
195,735
196,309
197,309
198,776
199,776
200,943
201,943
202,744
203,744
204,457
205,457
206,293
207,293
208,422
209,422
210,104
211,104
212,42
213,42
214,940
215,940
216,624
217,624
218,415
219,415
220,559
221,559
222,454
223,454
224,526
225,526
226,43
227,43
228,560
229,560
230,801
231,801
232,427
233,427
234,58
235,58
236,327
237,327
238,880
239,880
240,877
241,877
242,915
243,915
244,567
245,567
246,437
247,437
248,402
249,402
250,402
251,402
252,342
253,342
254,594
255,594
256,736
257,736
258,1
259,1
260,517
261,517
262,254
263,254
264,966
265,966
266,125
267,125
268,237
269,237
270,582
271,582
272,351
273,351
274,283
275,283
276,46
277,46
278,180
279,180
280,724
281,724
282,98
283,98
284,82
285,82
286,828
287,828
288,922
289,922
290,623
291,623
292,210
293,210
294,876
295,876
296,71
297,71
298,326
299,326
300,395
301,395
302,650
303,650
304,682
305,682
306,71
307,71
308,221
309,221
310,500
311,500
312,37
313,37
314,742
315,742
316,422
317,422
318,789
319,789
320,412
321,412
322,341
323,341
324,934
325,934
326,591
327,591
328,204
329,204
330,945
331,945
332,211
333,211
334,781
335,781
336,92
337,92
338,914
339,914
340,866
341,866
342,937
343,937
344,463
345,463
346,262
347,262
348,57
349,57
350,170
351,170
352,165
353,165
354,183
355,183
356,736
357,736
358,137
359,137
360,377
361,377
362,20
363,20
364,464
365,464
366,547
367,547
368,422
369,422
370,59
371,59
372,605
373,605
374,850
375,850
376,278
377,278
378,367
379,367
380,842
381,842
382,803
383,803
384,994
385,994
386,168
387,168
388,970
389,970
390,24
391,24
392,879
